patente;tipo;bloqueante;veredicto;fecha_correcta;tiene_la_base;calza;evidencia
RSCY-85;cert_cabina;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Santiago, 04 de Marzo de 2022 | Sres. PILLADO Y COMPANIA LIMITADA | Presente"
RSCY-85;factura_compra;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"R.U.T.96.572.360-9 CASA MATRIZ: | AV GLADYS MARIN MILLIE N° 5830 | ESTACION CENTRAL / SANTIAGO"
RSCY-85;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Chasis Cabina Accelo | ACCELO 1016/44 4X2 (EURO V) | ACCELO 1016 44 4X2 (EURO V).jpg"
RSCY-85;flujo_descarga;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PILLADO | EMPRESAS Coquimbo, 12 de febrero de 2026 | CERTIFICADO DE LA PRUEBA DEL FLUJO DEL"
RSCY-85;gps;;NO DECLARA;SIN VENCIMIENTO;Fri Mar 19;si;"19 de marzo del 2026 | CERTIFICADO DE SERVICIO GPS | Mediante el presente, se certifica que el cliente Pillado y Compañía Limitada RUT"
RSCY-85;hermeticidad;SI;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-85;inscripcion_rnvm;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"SERVICIO DE REGISTRO FOLIO : 90181448 | CIVIL E IDENTIFICACIÓN | Código Verificación:"
RSCY-85;inscripcion_sec;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PAGINA 1 de 2 | Comprobante de Declaración de Camión Tanque de Transporte de | Combustibles Líquidos."
RSCY-85;inventario_neumaticos;;NO DECLARA;SIN VENCIMIENTO;Sat Feb 20;si;"VITACORA DE NEUMATICOS | EQUIPO Combustible 5000 litros KILOMETRAJE 125724.2 | FECHA 20/02/2026 HOROMETRO 3866"
RSCY-85;laminas_seguridad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-85;mantencion;;NO DECLARA;SIN VENCIMIENTO;Fri Dec 31;si;"CERTIFICADO DE HISTORIAL DE MANTENIMIENTO | Pajaritos, 29 de Noviembre de 2024 | Kaufmann S.A. Vehículos Motorizados, RUT 92.475.000-6, certifica que al siguien"
RSCY-85;operatividad;;ILEGIBLE;;Wed Feb 03;;"No se pudo abrir: Invalid PDF structure."
RSCY-85;permiso_circulacion;SI;DECLARA;2026-09-30;Wed Sep 30;NO;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 RS-CY85-2"
RSCY-85;revision_tecnica;SI;ILEGIBLE;;Sat Jan 30;;"No se pudo abrir: Invalid PDF structure."
RSCY-85;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783721-1 Póliza N°"
RSCY-85;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Sep 30;si;"IMPORTANTE INFORMACION SOBRE ESTE SEGURO COBERTURA : El SOAP cubre la muerte, En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados"
RSCY-85;tacografo;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PILLADO | EMPRESAS Coquimbo, 16 de febrero de 2026 | CERTIFICADO DE FUNCIONAMIENTO DEL"
RSCY-85;tc8_sec;SI;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-86;aire_acondicionado;;NO DECLARA;SIN VENCIMIENTO;Thu Apr 22;si;"PILLADO | EMPRESAS Coquimbo, 22 de octubre de 2025 | CERTIFICADO DE MANTENCION DE AIRE"
RSCY-86;analisis_gases;;ILEGIBLE;;Sun Nov 08;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-86;ausencia_falla_ecm;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"OPILLADO | EMPRESAS Coquimbo, 23 de octubre de 2025 | CERTIFICADO DE AUSENCIA DE CODIGOS DE"
RSCY-86;calibracion;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 11 de mayo de 2026 | CERTIFICADO DE CALIBRACIÓN | Por medio del presente documento se certifica que el meter que a continuación se"
RSCY-86;cert_cabina;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Santiago, 04 de Marzo de 2022 | Sres. PILLADO Y COMPANIA LIMITADA | Presente"
RSCY-86;factura_compra;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"R.U.T.96.572.360-9 CASA MATRIZ: KAUFMANN | AV GLADYS MARIN MILLIEN° 5830 | ESTACION CENTRAL/ SANTIAGO"
RSCY-86;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Chasis Cabina Accelo | ACCELO 1016/44 4X2 (EURO V) | ACCELO 1016 44 4X2 (EURO V).jpg"
RSCY-86;flujo_descarga;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 11 de mayo de 2026 | CERTIFICADO DE LA PRUEBA DEL FLUJO DEL | SISTEMA SURTIDOR"
RSCY-86;gps;;NO DECLARA;SIN VENCIMIENTO;Thu Aug 12;si;"12 de agosto del 2026 | CERTIFICADO DE SERVICIO GPS | Mediante el presente, se certifica que el cliente Pillado y Compañía Limitada RUT"
RSCY-86;hermeticidad;;ILEGIBLE;;Thu Oct 21;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-86;inscripcion_rnvm;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"SERVICIO DE REGISTRO FOLIO : 90181410 | CIVIL E IDENTIFICACIÓN | Código Verificación:"
RSCY-86;inscripcion_sec;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PAGINA 1 de 2 | Comprobante de Declaración de Camión Tanque de Transporte de | Combustibles Líquidos."
RSCY-86;inventario_neumaticos;;ILEGIBLE;;Tue May 11;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-86;laminas_seguridad;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"VENTA E INSTALACIÓN DE CRISTALES | AUTOMOTRICES Y MAQUINARIAS PESADA | CERTIFICADO DE LAMINA DE SEGURIDAD"
RSCY-86;mantencion;;ILEGIBLE;;Sun Oct 11;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-86;operatividad;;NO DECLARA;SIN VENCIMIENTO;Fri Apr 23;si;"PLLADO | 2025 de de octubre 23 Coquimbo, | EMPRESAS"
RSCY-86;optico_sobrellenado;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 11 de mayo de 2026 | CERTIFICADO DE FUNCIONAMIENTO DEL | SISTEMA OPTICO DE LLENADO"
RSCY-86;otra;SI;NO DECLARA;SIN VENCIMIENTO;Wed Jan 13;si;"PETRÓLEO DIESEL | HOJA DE DATOS DE SEGURIDAD DE ACUERDO A NCh. 2245:2015 | Homologación para ESMAX DISTRIBUCIÓN LIMITADA"
RSCY-86;permiso_circulacion;SI;DECLARA;2026-09-30;Wed Sep 30;NO;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 RS-CY86-0"
RSCY-86;revision_tecnica;SI;ILEGIBLE;;Sun Nov 08;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-86;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783721-1 Póliza N°"
RSCY-86;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Sep 30;si;"IMPORTANTE INFORMACION SOBRE ESTE SEGURO COBERTURA : El SOAP cubre la muerte, En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados"
RSCY-86;tacografo;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PILLAD0 | Coquimbo, 22 de octubre de 2025 EMPRESAS | CERTIFICADO DE FUNCIONAMIENTO DEL"
RSCY-86;tc8_sec;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RSCY-86;torque_ruedas;;ILEGIBLE;;Fri Feb 12;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RZPC-83;aire_acondicionado;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RZPC-83;barra_antivuelco;;ILEGIBLE;;Fri Mar 20;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RZPC-83;factura_compra;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RZPC-83;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"T60 | T60 | DOBLE CABINA"
RZPC-83;laminas_seguridad;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"VENTA E INSTALACIÓN DE CRISTALES | AUTOMOTRICES Y MAQUINARIAS PESADA | CERTIFICADO DE LAMINA DE SEGURIDAD"
RZPC-83;mantencion;;NO DECLARA;SIN VENCIMIENTO;Wed May 05;si;"PILLADO | EMPRESAS Coquimbo, 05 de noviembre de 2025 | CERTIFICADO DE MANTENIMIENTO."
RZPC-83;operatividad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RZPC-83;permiso_circulacion;SI;DECLARA;2027-03-31;Wed Mar 31;NO;"LA HIGUERA 2026 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 31/03/2027 RZ-PC83-4"
RZPC-83;revision_tecnica;SI;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
RZPC-83;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"ruedas no apernadas, llaves y cualquier otro elemento que no esté adherido permanentemente al vehículo."
RZPC-83;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Mar 31;si;"IMPORTANTE: INFORMACION SOBRE ESTE SEGURO En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados a la indemnización que"
RZPC-83;torque_ruedas;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SBPG-12;aire_acondicionado;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SBPG-12;ausencia_falla_ecm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SBPG-12;barra_antivuelco;;ILEGIBLE;;Fri Mar 20;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SBPG-12;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"ESCANEA PARA MÁS INFO | ESPECIFICACIONES TÉCNICAS |       "
SBPG-12;gps;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"02 de enero del 2025 | CERTIFICADO DE SERVICIO GPS | Mediante el presente, se certifica que el cliente Pillado y Compañía Limitada RUT"
SBPG-12;laminas_seguridad;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"VENTA E INSTALACIÓN DE CRISTALES | AUTOMOTRICES Y MAQUINARIAS PESADA | CERTIFICADO DE LAMINA DE SEGURIDAD"
SBPG-12;mantencion;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"0$18$/'(*$5$17$<6(59,&,2 | 1',&( | Bienvenida 04 1',&("
SBPG-12;operatividad;;ILEGIBLE;;Fri Jul 11;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SBPG-12;permiso_circulacion;SI;DECLARA;2027-03-31;Wed Mar 31;NO;"LA HIGUERA 2026 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 31/03/2027 SB-PG12-1"
SBPG-12;revision_tecnica;SI;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SBPG-12;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PERMANENTEMENTE AL VEHÍCULO"
SBPG-12;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Mar 31;si;"IMPORTANTE: INFORMACION SOBRE ESTE SEGURO En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados a la indemnización que"
SBPG-12;torque_ruedas;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SLRK-82;factura_compra;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SLRK-82;mantencion;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"RESUMEN DE INFORMACIÓN LEY 21.398 | OPERACIONES ESTÁNDAR EN CADA MANTENCIÓN | PREVENTIVA PARA TODOS LOS VEHÍCULOS"
SLRK-82;permiso_circulacion;SI;DECLARA;2027-03-31;Wed Mar 31;NO;"LA HIGUERA 2026 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 31/03/2027 SL-RK82-9"
SLRK-82;revision_tecnica;SI;ILEGIBLE;;Fri Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SLRK-82;seguro_rc;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SLRK-82;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Mar 31;si;"IMPORTANTE: INFORMACION SOBRE ESTE SEGURO En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados a la indemnización que"
SPRY-26;barra_antivuelco;;ILEGIBLE;;Fri Mar 20;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-26;factura_compra;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-26;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"ESCANEA PARA MÁS INFO | ESPECIFICACIONES TÉCNICAS |       "
SPRY-26;gps;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"02 de enero del 2025 | CERTIFICADO DE SERVICIO GPS | Mediante el presente, se certifica que el cliente Pillado y Compañía Limitada RUT"
SPRY-26;inscripcion_rnvm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-26;laminas_seguridad;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"VENTA E INSTALACIÓN DE CRISTALES | AUTOMOTRICES Y MAQUINARIAS PESADA | CERTIFICADO DE LAMINA DE SEGURIDAD"
SPRY-26;mantencion;;ILEGIBLE;;Tue May 21;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-26;operatividad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-26;padron;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"SERVICIO DE REGISTRO | CIVIL E IDENTIFICACIÓN | REPUBLICA DE CHILE"
SPRY-26;permiso_circulacion;SI;DECLARA;2027-03-31;Wed Mar 31;NO;"LA HIGUERA 2026 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 31/03/2027 SP-RY26-7"
SPRY-26;revision_tecnica;SI;NO DECLARA;SIN VENCIMIENTO;Wed Sep 30;si;"NOMBRE DEL PROPIETARIO RUT | CERTIFICADO DE REVISIÓN TÉCNICA BANCO DE CREDITO E INVERSIONES | 97006000-6"
SPRY-26;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783718-1 Póliza N°"
SPRY-26;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Mar 31;si;"IMPORTANTE: INFORMACION SOBRE ESTE SEGURO En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados a la indemnización que"
SPRY-28;barra_antivuelco;;ILEGIBLE;;Fri Mar 20;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-28;factura_compra;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-28;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"ESCANEA PARA MÁS INFO | ESPECIFICACIONES TÉCNICAS |       "
SPRY-28;gps;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"02 de enero del 2025 | CERTIFICADO DE SERVICIO GPS | Mediante el presente, se certifica que el cliente Pillado y Compañía Limitada RUT"
SPRY-28;inscripcion_rnvm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-28;laminas_seguridad;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"VENTA E INSTALACIÓN DE CRISTALES | AUTOMOTRICES Y MAQUINARIAS PESADA | CERTIFICADO DE LAMINA DE SEGURIDAD"
SPRY-28;mantencion;;ILEGIBLE;;Mon Oct 05;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-28;operatividad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-28;padron;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"SERVICIO DE REGISTRO | CIVIL E IDENTIFICACIÓN | REPUBLICA DE CHILE"
SPRY-28;permiso_circulacion;SI;DECLARA;2027-03-31;Wed Mar 31;NO;"LA HIGUERA 2026 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 31/03/2027 SP-RY28-3"
SPRY-28;revision_tecnica;SI;NO DECLARA;SIN VENCIMIENTO;Tue Nov 30;si;"NOMBRE DEL PROPIETARIO RUT | CERTIFICADO DE REVISIÓN TÉCNICA | BANCO DE CREDITO E INVERSIONES 97006000-6"
SPRY-28;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783718-1 Póliza N°"
SPRY-28;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Mar 31;si;"IMPORTANTE: INFORMACION SOBRE ESTE SEGURO En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados a la indemnización que"
SPRY-29;factura_compra;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-29;inscripcion_rnvm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SPRY-29;padron;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"SERVICIO DE REGISTRO | CIVIL E IDENTIFICACIÓN | REPUBLICA DE CHILE"
SPRY-29;permiso_circulacion;SI;DECLARA;2027-03-31;Wed Mar 31;NO;"LA HIGUERA 2026 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 31/03/2027 SP-RY29-1"
SPRY-29;revision_tecnica;SI;NO DECLARA;SIN VENCIMIENTO;Mon Jan 31;si;"NOMBRE DEL PROPIETARIO | RUT CERTIFICADO DE REVISIÓN TÉCNICA BANCO DE CREDITO E INVERSIONES | 97006000-6"
SPRY-29;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"INV.PARCIAL O TOTAL PERMANENTE 100,00 0,01"
SPRY-29;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Mar 31;si;"IMPORTANTE: INFORMACION SOBRE ESTE SEGURO En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados a la indemnización que"
SURT-MP-001;sec;SI;ILEGIBLE;;Mon Jun 15;;"No se pudo abrir: Failed to parse URL from /certificaciones/demo/sec_surt_mp_001.pdf"
SURT-MP-002;sec;SI;ILEGIBLE;;Mon Apr 20;;"No se pudo abrir: Failed to parse URL from /certificaciones/demo/sec_surt_mp_002.pdf"
SURT-PC-001;seremi;SI;ILEGIBLE;;Thu Aug 20;;"No se pudo abrir: Failed to parse URL from /certificaciones/demo/seremi_surt_pc_001.pdf"
SURT-PC-002;calibracion;;ILEGIBLE;;Fri Apr 10;;"No se pudo abrir: Failed to parse URL from /certificaciones/demo/cal_surt_pc_002.pdf"
SURT-PE-001;calibracion;;ILEGIBLE;;Fri Jul 10;;"No se pudo abrir: Failed to parse URL from /certificaciones/demo/cal_surt_pe_001.pdf"
SVBJ-55;aire_acondicionado;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;analisis_gases;;ILEGIBLE;;Sat Dec 26;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;ausencia_falla_ecm;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 28 de mayo de 2026 | CERTIFICADO DE AUSENCIA DE CODIGOS DE | FALLA DEL ECM DEL CAMION."
SVBJ-55;cert_cabina;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Volvo Chile SPA. | CERTIFICADO | VOLVO COMMERCIAL VEHICLES AND CONSTRUCCION EQUIPMENT SOUTH"
SVBJ-55;factura_compra;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;ficha_tecnica;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;gps;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Certificado de Integración GPS | Vehículo acreditado y transmitiendo online | Fecha Último Proveedor"
SVBJ-55;hermeticidad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;homologacion;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;inscripcion_rnvm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;inventario_neumaticos;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"VITACORA DE NEUMATICOS | EQUIPO KILOMETRAJE 22892 | FECHA 17/03/2026 HOROMETRO 1168"
SVBJ-55;laminas_seguridad;;NO DECLARA;SIN VENCIMIENTO;Sun Mar 30;si;"CERTIFICADO INSTALACION LAMINA DE SEGURIDAD N°15272 | EQUIPO : VOLVO | SERIE : E191064"
SVBJ-55;mant_hidraulico;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 28 de mayo de 2026 | CERTIFICADO DE MANTENCION REALIZADA AL | SISTEMA HIDRAULICO DE LA BOMBA"
SVBJ-55;mantencion;;ILEGIBLE;;Sat Jul 03;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;operatividad;;NO DECLARA;SIN VENCIMIENTO;Sat Nov 28;si;"Coquimbo, 28 de mayo de 2026 | CERTIFICADO DE OPERATIVIDAD DEL EQUIPO | Pillado y Compañía Limitada, Rut 77.316.540-8, certifica que el siguiente vehículo"
SVBJ-55;padron;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"SERVICIO DE REGISTRO | CIVIL E IDENTIFICACIÓN | REPUBLICA DE CHILE"
SVBJ-55;permiso_circulacion;SI;DECLARA;2026-09-30;Wed Sep 30;NO;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 SV-BJ55-1"
SVBJ-55;revision_tecnica;SI;ILEGIBLE;;Sat Dec 26;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-55;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783721-1 Póliza N°"
SVBJ-55;sist_riego;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 28 de mayo de 2026 | CERTIFICADO DE FUNCIONAMIENTO DEL | SISTEMA DE REGADIO"
SVBJ-55;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Sep 30;si;"IMPORTANTE INFORMACION SOBRE ESTE SEGURO COBERTURA : El SOAP cubre la muerte, En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados"
SVBJ-55;tacografo;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 28 de mayo de 2026 | CERTIFICADO DE FUNCIONAMIENTO DEL | TACOGRAFO"
SVBJ-55;torque_ruedas;;ILEGIBLE;;Fri Jan 15;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;aire_acondicionado;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;analisis_gases;SI;ILEGIBLE;;Sun Dec 20;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;ausencia_falla_ecm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;calibracion;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;cert_cabina;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Volvo Chile SPA. | CERTIFICADO | VOLVO COMMERCIAL VEHICLES AND CONSTRUCCION EQUIPMENT SOUTH"
SVBJ-56;factura_compra;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Powered by TCPDF (www.tcpdf.org)"
SVBJ-56;ficha_tecnica;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;flujo_descarga;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;gps;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"25 de agosto del 2025 | CERTIFICADO DE SERVICIO GPS | Mediante el presente, se certifica que el cliente Pillado y Compañía Limitada RUT"
SVBJ-56;hermeticidad;SI;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
SVBJ-56;homologacion;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
